Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,cutivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time,Treatment
SRR12097141,RNA-Seq,50,252106600,PRJNA642101,SAMN15376722,102906302,GEO,public,Micro-Tom,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8622549,35S::AtCKX2,GSM4641388,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641388,Shoots,SRP269007,T10d,Infected
SRR12097142,RNA-Seq,50,274400400,PRJNA642101,SAMN15376721,112337018,GEO,public,Micro-Tom,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8622550,35S::AtCKX2,GSM4641389,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641389,Shoots,SRP269007,T10d,Infected
SRR12097143,RNA-Seq,50,342522500,PRJNA642101,SAMN15376719,139628076,GEO,public,Micro-Tom,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8622551,35S::AtCKX2,GSM4641390,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641390,Shoots,SRP269007,T10d,Infected
SRR12097144,RNA-Seq,50,313753250,PRJNA642101,SAMN15376718,128059278,GEO,public,Micro-Tom,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8622552,35S::AtCKX2,GSM4641391,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641391,Shoots,SRP269007,T10d,Infected
SRR12097145,RNA-Seq,50,220974950,PRJNA642101,SAMN15376561,91073243,GEO,public,Micro-Tom,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8622553,35S::AtCKX2,GSM4641392,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641392,Shoots,SRP269007,T30d,Mock
SRR12097146,RNA-Seq,50,192605250,PRJNA642101,SAMN15376559,79468854,GEO,public,Micro-Tom,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX8622554,35S::AtCKX2,GSM4641393,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641393,Shoots,SRP269007,T30d,Mock
SRR12097147,RNA-Seq,50,292163050,PRJNA642101,SAMN15376557,119492361,GEO,public,Micro-Tom,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX8622555,35S::AtCKX2,GSM4641394,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641394,Shoots,SRP269007,T30d,Mock
SRR12097148,RNA-Seq,50,258925850,PRJNA642101,SAMN15376555,106009934,GEO,public,Micro-Tom,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX8622556,35S::AtCKX2,GSM4641395,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641395,Shoots,SRP269007,T30d,Mock
SRR12097149,RNA-Seq,50,244214350,PRJNA642101,SAMN15376553,100423595,GEO,public,Micro-Tom,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8622557,35S::AtCKX2,GSM4641396,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641396,Shoots,SRP269007,T30d,Mock
SRR12097150,RNA-Seq,50,299673850,PRJNA642101,SAMN15376551,122520356,GEO,public,Micro-Tom,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8622558,35S::AtCKX2,GSM4641397,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641397,Shoots,SRP269007,T30d,Infected
SRR12097151,RNA-Seq,50,255145950,PRJNA642101,SAMN15376550,104545542,GEO,public,Micro-Tom,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX8622559,35S::AtCKX2,GSM4641398,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641398,Shoots,SRP269007,T30d,Infected
SRR12097152,RNA-Seq,50,229326950,PRJNA642101,SAMN15376547,94305203,GEO,public,Micro-Tom,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX8622560,35S::AtCKX2,GSM4641399,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641399,Shoots,SRP269007,T30d,Infected
SRR12097153,RNA-Seq,50,276645750,PRJNA642101,SAMN15376546,113842550,GEO,public,Micro-Tom,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8622561,35S::AtCKX2,GSM4641400,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641400,Shoots,SRP269007,T30d,Infected
SRR12097154,RNA-Seq,50,288743600,PRJNA642101,SAMN15376545,119032612,GEO,public,Micro-Tom,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8622562,35S::AtCKX2,GSM4641401,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641401,Shoots,SRP269007,T30d,Infected
